date,nino34,nino12,oni,regime
1950-01-01,-1.99,-1.55,-1.53,0
1950-02-01,-1.69,-1.78,-1.34,0
1950-03-01,-1.42,-1.38,-1.16,0
1950-04-01,-1.54,-1.9,-1.18,0
1950-05-01,-1.75,-1.74,-1.07,0
1950-06-01,-1.27,-1.79,-0.85,0
1950-07-01,-1.01,-1.65,-0.54,0
1950-08-01,-0.97,-0.88,-0.42,1
1950-09-01,-0.98,-1.17,-0.39,1
1950-10-01,-1.03,-1.02,-0.44,1
1950-11-01,-1.23,-1.8,-0.6,0
1950-12-01,-1.31,-1.09,-0.8,0
1951-01-01,-1.3,-0.46,-0.82,0
1951-02-01,-1.04,-0.91,-0.54,0
1951-03-01,-0.38,-0.75,-0.17,1
1951-04-01,-0.23,-0.25,0.18,1
1951-05-01,-0.01,0.17,0.36,1
1951-06-01,0.0,1.49,0.58,2
1951-07-01,0.3,1.86,0.7,2
1951-08-01,0.17,1.17,0.89,2
1951-09-01,0.51,0.56,0.99,2
1951-10-01,0.49,0.72,1.15,2
1951-11-01,0.55,0.68,1.04,2
1951-12-01,0.31,0.02,0.81,2
1952-01-01,0.13,-0.21,0.53,2
1952-02-01,-0.01,-0.08,0.37,1
1952-03-01,-0.11,-0.41,0.34,1
1952-04-01,-0.02,-1.1,0.29,1
1952-05-01,-0.14,-0.93,0.2,1
1952-06-01,-0.54,-1.2,0.0,1
1952-07-01,-0.76,-1.23,-0.08,1
1952-08-01,-0.56,-1.11,0.0,1
1952-09-01,-0.36,-1.36,0.15,1
1952-10-01,-0.46,-0.65,0.1,1
1952-11-01,-0.78,-0.82,0.04,1
1952-12-01,-0.39,-0.5,0.15,1
1953-01-01,0.2,-0.44,0.4,1
1953-02-01,0.24,0.17,0.6,2
1953-03-01,0.29,0.74,0.63,2
1953-04-01,0.22,1.47,0.66,2
1953-05-01,0.35,1.01,0.75,2
1953-06-01,0.39,0.31,0.77,2
1953-07-01,0.14,-0.0,0.75,2
1953-08-01,0.09,0.17,0.73,2
1953-09-01,0.29,0.33,0.78,2
1953-10-01,0.16,-0.18,0.84,2
1953-11-01,0.18,-0.14,0.84,2
1953-12-01,0.41,-0.59,0.81,2
1954-01-01,0.43,-1.91,0.76,2
1954-02-01,0.28,-1.22,0.47,1
1954-03-01,-0.38,-1.32,-0.05,1
1954-04-01,-1.17,-3.09,-0.41,1
1954-05-01,-0.81,-2.99,-0.54,0
1954-06-01,-0.93,-2.46,-0.5,1
1954-07-01,-1.18,-2.83,-0.64,0
1954-08-01,-1.43,-1.69,-0.84,0
1954-09-01,-1.6,-1.71,-0.9,0
1954-10-01,-1.48,-2.04,-0.77,0
1954-11-01,-1.13,-1.45,-0.73,0
1954-12-01,-1.33,-1.47,-0.66,0
1955-01-01,-0.93,-0.84,-0.68,0
1955-02-01,-0.95,-1.13,-0.62,0
1955-03-01,-1.06,-1.37,-0.69,0
1955-04-01,-1.22,-1.24,-0.8,0
1955-05-01,-1.28,-2.16,-0.79,0
1955-06-01,-1.18,-1.92,-0.72,0
1955-07-01,-1.15,-1.44,-0.68,0
1955-08-01,-1.35,-1.55,-0.75,0
1955-09-01,-1.43,-1.47,-1.09,0
1955-10-01,-2.31,-1.82,-1.42,0
1955-11-01,-2.45,-1.83,-1.67,0
1955-12-01,-2.03,-1.69,-1.47,0
1956-01-01,-1.2,-1.31,-1.11,0
1956-02-01,-0.99,-1.2,-0.76,0
1956-03-01,-0.83,-0.75,-0.63,0
1956-04-01,-0.97,-1.15,-0.54,0
1956-05-01,-0.8,-1.21,-0.52,0
1956-06-01,-0.92,-0.94,-0.51,0
1956-07-01,-1.06,-0.14,-0.57,0
1956-08-01,-1.17,-0.43,-0.55,0
1956-09-01,-0.98,-1.01,-0.46,1
1956-10-01,-0.97,-1.19,-0.42,1
1956-11-01,-1.14,-1.06,-0.43,1
1956-12-01,-0.89,-1.32,-0.43,1
1957-01-01,-0.51,-1.66,-0.25,1
1957-02-01,-0.22,0.07,0.06,1
1957-03-01,0.18,0.78,0.41,1
1957-04-01,0.41,1.13,0.72,2
1957-05-01,0.62,2.4,0.92,2
1957-06-01,0.63,2.01,1.11,2
1957-07-01,0.87,1.86,1.25,2
1957-08-01,0.84,1.2,1.32,2
1957-09-01,0.72,0.91,1.33,2
1957-10-01,0.7,0.63,1.39,2
1957-11-01,0.92,0.56,1.53,2
1957-12-01,1.3,0.66,1.74,2
1958-01-01,1.78,0.14,1.81,2
1958-02-01,1.49,0.26,1.66,2
1958-03-01,0.98,0.48,1.27,2
1958-04-01,0.46,0.71,0.93,2
1958-05-01,0.38,0.12,0.74,2
1958-06-01,0.26,-0.02,0.64,2
1958-07-01,0.03,0.06,0.57,2
1958-08-01,-0.01,-0.42,0.43,1
1958-09-01,-0.32,-0.41,0.39,1
1958-10-01,-0.27,-0.19,0.44,1
1958-11-01,0.05,-0.38,0.5,1
1958-12-01,0.02,-0.5,0.61,2
1959-01-01,0.53,-0.88,0.61,2
1959-02-01,0.43,-0.47,0.62,2
1959-03-01,0.19,0.34,0.52,2
1959-04-01,0.06,0.12,0.33,1
1959-05-01,-0.23,-0.39,0.2,1
1959-06-01,-0.35,-0.63,-0.07,1
1959-07-01,-0.86,-0.57,-0.18,1
1959-08-01,-0.77,-1.01,-0.28,1
1959-09-01,-0.8,-0.61,-0.09,1
1959-10-01,-0.48,-0.29,-0.03,1
1959-11-01,-0.66,0.1,0.05,1
1959-12-01,-0.42,-0.23,-0.04,1
1960-01-01,-0.28,-0.33,-0.1,1
1960-02-01,-0.46,-0.42,-0.1,1
1960-03-01,-0.3,-0.25,-0.07,1
1960-04-01,-0.33,-1.11,0.03,1
1960-05-01,-0.25,-1.09,0.02,1
1960-06-01,-0.49,-1.41,0.03,1
1960-07-01,-0.41,-1.32,0.13,1
1960-08-01,-0.15,-1.02,0.24,1
1960-09-01,-0.28,-0.27,0.27,1
1960-10-01,-0.49,-0.91,0.2,1
1960-11-01,-0.45,-0.6,0.12,1
1960-12-01,-0.38,-0.29,0.05,1
1961-01-01,-0.31,-0.08,0.04,1
1961-02-01,-0.19,0.45,0.03,1
1961-03-01,-0.35,-0.73,0.04,1
1961-04-01,-0.46,-0.78,0.09,1
1961-05-01,-0.18,-0.92,0.23,1
1961-06-01,-0.06,-0.98,0.27,1
1961-07-01,-0.41,-1.53,0.14,1
1961-08-01,-0.67,-1.14,-0.13,1
1961-09-01,-0.94,-1.14,-0.3,1
1961-10-01,-1.01,-1.05,-0.26,1
1961-11-01,-0.63,-0.67,-0.19,1
1961-12-01,-0.63,-0.88,-0.16,1
1962-01-01,-0.59,-0.74,-0.24,1
1962-02-01,-0.57,-0.73,-0.22,1
1962-03-01,-0.48,-2.13,-0.2,1
1962-04-01,-0.69,-2.38,-0.26,1
1962-05-01,-0.89,-1.51,-0.28,1
1962-06-01,-0.65,-1.35,-0.2,1
1962-07-01,-0.53,-1.32,-0.04,1
1962-08-01,-0.53,-0.77,-0.07,1
1962-09-01,-0.78,-0.74,-0.11,1
1962-10-01,-0.75,-1.17,-0.22,1
1962-11-01,-0.95,-0.87,-0.31,1
1962-12-01,-0.93,-1.09,-0.43,1
1963-01-01,-0.78,-0.85,-0.4,1
1963-02-01,-0.53,-0.82,-0.15,1
1963-03-01,-0.1,-0.76,0.15,1
1963-04-01,-0.03,-1.21,0.27,1
1963-05-01,-0.3,-0.57,0.31,1
1963-06-01,-0.11,-0.87,0.52,2
1963-07-01,0.49,-0.34,0.86,2
1963-08-01,0.62,0.15,1.14,2
1963-09-01,0.68,0.05,1.22,2
1963-10-01,0.64,-0.05,1.29,2
1963-11-01,0.77,-0.22,1.37,2
1963-12-01,1.02,-0.29,1.31,2
1964-01-01,0.79,-0.65,1.07,2
1964-02-01,0.38,-1.29,0.62,2
1964-03-01,-0.26,-1.4,0.12,1
1964-04-01,-0.87,-1.35,-0.33,1
1964-05-01,-1.12,-2.67,-0.58,0
1964-06-01,-1.14,-1.88,-0.58,0
1964-07-01,-0.96,-1.77,-0.6,0
1964-08-01,-1.26,-1.67,-0.66,0
1964-09-01,-1.4,-1.23,-0.76,0
1964-10-01,-1.35,-1.44,-0.8,0
1964-11-01,-1.44,-0.97,-0.82,0
1964-12-01,-1.37,-1.33,-0.78,0
1965-01-01,-0.89,-0.69,-0.59,0
1965-02-01,-0.56,-0.32,-0.28,1
1965-03-01,-0.34,-0.01,-0.07,1
1965-04-01,-0.44,1.34,0.18,1
1965-05-01,0.06,1.53,0.46,1
1965-06-01,0.36,1.23,0.83,2
1965-07-01,0.61,1.04,1.22,2
1965-08-01,1.12,1.38,1.54,2
1965-09-01,1.29,0.38,1.85,2
1965-10-01,1.45,0.32,1.98,2
